trade_id,exchange,coin,trader_id,amount_usd,event_time
TRD000000,,BTC,TRADER0141,,2026-08-01T12:57:50
TRD000001,BINANCE,DOGE,TRADER0217,207.32,2026-08-01T12:35:59
TRD000002,OKX,BTC,TRADER0288,359953.78,2026-08-01T10:00:23
TRD000003,BYBIT,DOGE,TRADER0143,4056.68,2026-08-01T11:50:48
TRD000004,KRAKEN,SOL,TRADER0080,1115.8,2026-08-01T08:50:39
TRD000005,BYBIT,BTC,TRADER0184,4245.1,2026-08-01T12:10:54
TRD000006,OKX,BTC,TRADER0194,217271.31,2026-08-01T13:15:18
TRD000007,COINBASE,BTC,TRADER0024,3323.25,2026-08-01T10:07:08
TRD000008,BINANCE,XRP,TRADER0143,2294.38,2026-08-01T11:22:10
TRD000009,KRAKEN,ETH,TRADER0137,3524.01,2026-08-01T13:32:40
TRD000010,COINBASE,DOGE,TRADER0126,858.84,2026-08-01T10:57:06
TRD000011,BINANCE,ETH,TRADER0017,4034.98,2026-08-01T09:55:13
TRD000012,OKX,SOL,TRADER0109,258252.76,2026-08-01T09:18:01
TRD000013,KRAKEN,ETH,TRADER0127,315590.92,2026-08-01T13:18:41
TRD000014,BYBIT,SOL,TRADER0113,155332.7,2026-08-01T08:49:38
TRD000015,BINANCE,BTC,TRADER0079,416831.75,2026-08-01T13:25:43
TRD000016,BINANCE,XRP,TRADER0196,287219.96,2026-08-01T13:02:08
TRD000017,BINANCE,BTC,TRADER0275,407439.49,2026-08-01T09:00:55
TRD000018,KRAKEN,XRP,TRADER0081,481526.37,2026-08-01T12:33:23
TRD000019,COINBASE,DOGE,TRADER0055,4359.07,2026-08-01T09:23:28
TRD000020,KRAKEN,ETH,TRADER0277,4769.82,2026-08-01T13:27:06
TRD000021,KRAKEN,XRP,TRADER0010,245192.31,2026-08-01T10:10:46
TRD000022,BINANCE,ETH,TRADER0291,134261.38,2026-08-01T08:37:47
TRD000023,OKX,ETH,TRADER0066,3315.77,2026-08-01T10:24:45
TRD000024,OKX,DOGE,TRADER0217,4823.6,2026-08-01T10:50:14
TRD000025,BYBIT,SOL,TRADER0225,4503.09,2026-08-01T10:02:42
TRD000026,BINANCE,SOL,TRADER0011,2962.13,2026-08-01T08:03:55
TRD000027,BINANCE,BTC,TRADER0118,112565.18,2026-08-01T08:38:41
TRD000028,OKX,ETH,TRADER0143,3361.44,2026-08-01T13:11:51
TRD000029,OKX,XRP,TRADER0125,3933.87,2026-08-01T08:51:30
TRD000030,BINANCE,XRP,TRADER0182,2146.71,2026-08-01T13:56:52
TRD000031,BINANCE,BTC,TRADER0207,3654.66,2026-08-01T10:15:47
TRD000032,COINBASE,ETH,TRADER0275,268752.66,2026-08-01T12:12:39
TRD000033,COINBASE,BTC,TRADER0227,4049.71,2026-08-01T08:27:37
TRD000034,OKX,BTC,TRADER0048,4635.52,2026-08-01T11:41:57
